"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Albania","ALB","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Andorra","AND","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","22.1129398508521","24.3608122545396","28.0591594275997","28.2574413428684","28.7659379532607","32.5752345201241","30.984291636161","33.3421709895963","35.8200319660535","43.4880071955242","41.2714968779994","38.9123211469151","39.3992042134627","41.5198721176711","42.6351076274606","42.4781838937","42.14412695818","43.2355334782685","45.2372510507089","47.9432091783946","47.3188777122516","48.4013991464775","51.4690672442075","51.9271375450621","51.7527791893504","52.080274184065","51.2224686818207","49.1975801555375","50.7410260016664","51.0907559251247","55.0380310684151","55.5904160102666","56.7999464081284","57.9209905673018","60.5437284686299","61.4616541037027","61.2486014027772","61.6241127287519","61.1128258885623","61.7602660860604","61.7795203475994","61.3309735964376","63.0350443483141","61.5925258712412","64.0714218284369","","","","","",
"United Arab Emirates","ARE","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","100","100","100","100","100","100","96.2774957698816","96.2805526036132","96.2933279903827","96.2892483349191","96.2721729490022","96.2871564778463","96.2824179075042","96.2818181818182","96.2916666666667","96.2775089745591","96.2876180713187","96.2803234501348","96.2977197027927","96.2939110070258","96.2941617197856","96.2972871742736","96.2908421537046","96.2925513987193","96.893763509727","96.6317928646696","95.8661971830986","96.3494250119789","96.6115390831223","96.9106749449229","97.2018901139627","97.2362130783678","97.2558139534884","97.6648797145964","97.8648390391776","97.9675892643182","98.1368091871863","98.2946904706701","98.4112263036446","98.5214063523248","98.5999172861797","98.6208576998051","98.5963359755983","98.4776191130029","98.5255091625709","","","","","",
"Argentina","ARG","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","22.9258381307145","23.1881767169841","24.5414650613255","23.3023255813954","24.8815731179498","25.6685199894096","24.7986918828865","19.898905305976","19.7019207778752","22.0218606759684","22.4259120986637","25.6581256581257","24.4215519847453","24.5652270604457","27.4472550535734","27.0779340040406","24.0800169103941","40.3341882632163","48.1459484072776","39.1643673630272","39.1641646308487","37.2559546178486","35.6941015980252","33.9281008262669","39.5538312318138","46.5100594093505","44.1547484024454","45.9493055180241","56.4964519616737","54.6473962433922","47.711257837208","47.6845109113945","51.7103118548299","54.8015773972945","52.4461802428643","46.2903180529433","51.0468742726807","54.2186112298938","51.2299149435281","49.9820377924846","44.818802825055","48.3141262432996","47.2353643279311","48.1996785915942","49.4822602564899","","","","","",
"Armenia","ARM","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.406099208647","28.0580075662043","22.8787205686362","23.1294678316124","26.6525273948392","52.3826649883115","35.2590923720631","49.9751202521148","49.5073493781295","42.6622354381669","45.1829472977509","48.5639686684073","28.6102554810654","27.6495182694056","30.3648424543947","28.9377869241729","24.8443023060091","25.2458460495083","26.1698440207972","20.3491447716452","22.1537513480203","32.1668909825034","42.297162767546","41.1543450064851","42.4387096774194","35.9148608795999","","","","","",
"American Samoa","ASM","Electricity production from natural gas sources (% of total)","EG.ELC.NGAS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
