"Data Source","WDI Database Archives",

"Last Updated Date","2020-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","12100000000","13600000000","16280000000","17160000000","19000000000","8560000000","8560000000","10560000000","11100000000","11900000000","11900000000","12620000000","11560000000","12020000000","14020000000","14020000000","14020000000","14020000000","14200000000","14500000000","15440000000","16800000000","17800000000","17900000000","18000000000","18500000000","17500000000","21200000000","17880000000","18240000000","20340000000","22860000000","24820000000","35000000000","44380000000","53300000000","49940000000","62680000000","62354000000","51338000000","44077000000","","","","","","","","",
"Albania","ALB","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","14000000000","18000000000","22540000000","26000000000","32000000000","38000000000","44000000000","48000000000","54000000000","59000000000","61000000000","62500000000","64000000000","54780000000","42600000000","81220000000","67000000000","58780000000","61560000000","56960000000","70360000000","64520000000","66280000000","75420000000","84080000000","114520000000","100560000000","98420000000","105680000000","91880000000","71100000000","70240000000","99404000000","109320000000","107460000000","106040000000","55760000000","75940000000","104270000000","106106000000","45738000000","","","","","","","","",
"Andorra","AND","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Netherlands Antilles","ANT","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab League states","ARB","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","165560000000","174760000000","167700000000","199840000000","213560000000","249940000000","287320000000","303260000000","325060000000","325400000000","326840000000","328060000000","303540000000","314640000000","303660000000","302460000000","341760000000","342060000000","363540000000","362620000000","334380000000","321920000000","327260000000","341640000000","340880000000","374580000000","386900000000","388460000000","413700000000","405460000000","445100000000","385040000000","425540000000","447600000000","556400000000","544720000000","583540000000","509120000000","529376000000","462399000000","361691000000","","","","","","","","",
"United Arab Emirates","ARE","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Argentina","ARG","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","32020000000","31560000000","61020000000","101720000000","105260000000","101400000000","116540000000","156260000000","215060000000","304800000000","295380000000","354040000000","371380000000","399500000000","415240000000","422320000000","438980000000","303080000000","261680000000","359660000000","326420000000","389720000000","479480000000","549620000000","538980000000","465540000000","569540000000","538700000000","439320000000","589680000000","753950000000","735930000000","698636000000","633844000000","707424000000","795419000000","644029000000","643680000000","711304000000","501276000000","370887000000","","","","","","","","",
"Armenia","ARM","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31100000000","30920000000","60880000000","85860000000","70280000000","38380000000","31440000000","27800000000","30740000000","24000000000","25220000000","19360000000","33160000000","39640000000","39960000000","35460000000","36500000000","37120000000","35992000000","40460000000","35882000000","27412000000","","","","","","","","",
"American Samoa","ASM","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","86020000000","98480000000","104240000000","138000000000","142580000000","171780000000","146960000000","158240000000","157780000000","173060000000","182980000000","236880000000","237060000000","234980000000","272580000000","303460000000","310980000000","271520000000","285740000000","315740000000","266540000000","289600000000","282240000000","251260000000","250540000000","282360000000","299240000000","281340000000","300580000000","305300000000","297960000000","331800000000","320446000000","344412000000","340858000000","332638000000","327264000000","350170000000","328996000000","347984000000","351836000000","363276000000","357528000000","372890000000","373666000000","389934000000","419221000000","408156000000","383910000000","375809000000","414004000000","355732000000","263681000000","","","","","","","",
"Austria","AUT","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","227180000000","224040000000","231680000000","227320000000","254240000000","313880000000","340820000000","347760000000","356720000000","326100000000","418400000000","329000000000","339720000000","379040000000","448000000000","473820000000","405460000000","495760000000","496040000000","558600000000","580980000000","626940000000","627420000000","623300000000","593480000000","637460000000","647900000000","738660000000","737060000000","727820000000","652700000000","652980000000","723080000000","760980000000","737920000000","778080000000","715800000000","757496000000","780626000000","845790000000","868650000000","843050000000","835824000000","703952000000","792852000000","809516000000","817450000000","864250000000","891210000000","940474000000","897315000000","573852000000","517935000000","","","","","","","",
"Azerbaijan","AZE","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24538000000","35160000000","34940000000","48286000000","36580000000","31120000000","30760000000","34240000000","39020000000","30120000000","30680000000","26020000000","40400000000","49380000000","55100000000","60180000000","50360000000","47262000000","44640000000","46209000000","48258000000","29436000000","","","","","","","","",
"Burundi","BDI","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Electricity production from renewable sources (kWh)","EG.ELC.RNEW.KH","3440000000","3780000000","3260000000","2880000000","2300000000","5440000000","5980000000","4760000000","4880000000","4600000000","4920000000","2680000000","3600000000","5740000000","6960000000","5320000000","3320000000","9420000000","9660000000","10980000000","11560000000","13440000000","7580000000","7160000000","7500000000","6800000000","9240000000","11540000000","10940000000","10060000000","11100000000","10720000000","12340000000","10140000000","12000000000","13360000000","11220000000","11760000000","15180000000","17000000000","20880000000","21500000000","22760000000","23840000000","29940000000","42120000000","59040000000","69720000000","88360000000","108780000000","128674000000","118034000000","104434000000","","","","","","","",
